,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000
0,99,90,83,76,69,61,52,45,34,26,19,14,9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,99,99,97,93,87,80,72,63,53,43,33,25,18,13,9,6,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0
20,99,99,99,98,95,90,84,76,66,56,45,36,27,21,15,11,8,6,5,4,3,2,2,2,1,1,1,0,0,0,0
30,99,99,99,99,98,95,91,84,76,66,55,45,36,28,21,16,12,10,8,6,5,4,3,3,2,2,1,1,1,1,0
40,99,99,99,99,99,97,94,89,82,73,63,52,43,34,27,21,17,13,11,9,7,6,5,4,3,3,2,2,1,1,1
50,99,99,99,99,99,98,96,93,87,78,69,58,48,39,32,26,21,17,13,11,9,8,6,5,4,3,3,2,2,1,1
60,99,99,99,99,99,99,98,94,89,82,73,63,53,44,36,29,24,20,16,13,11,9,8,6,5,4,4,3,2,2,1
70,99,99,99,99,99,99,98,96,91,85,75,66,56,47,39,32,27,23,19,16,13,11,9,8,6,5,4,4,3,2,2
80,99,99,99,99,99,99,99,97,92,86,78,69,59,50,42,35,30,25,21,18,15,13,11,9,8,6,5,4,3,3,2
90,99,99,99,99,99,99,99,97,93,87,79,71,61,52,44,37,31,27,23,19,17,14,12,10,9,7,6,5,4,3,3
100,99,99,99,99,99,99,99,97,94,88,80,72,63,54,46,39,33,28,24,21,18,15,13,11,10,8,7,5,5,4,3
110,99,99,99,99,99,99,99,97,94,88,81,73,64,55,47,40,34,29,26,22,19,16,14,12,10,9,7,6,5,4,3
120,99,99,99,99,99,99,99,98,94,89,82,74,65,57,49,42,36,30,26,23,20,17,15,13,11,9,8,7,5,5,4
130,99,99,99,99,99,99,99,97,94,89,82,74,66,57,49,42,36,31,27,24,21,18,16,13,12,10,8,7,6,5,4
140,99,99,99,99,99,99,99,97,94,89,82,74,66,58,50,43,37,32,28,24,21,19,16,14,12,10,9,7,6,5,4
150,99,99,99,99,99,99,99,97,94,89,82,75,66,58,50,43,37,33,28,25,22,19,17,14,12,11,9,8,7,5,4
160,99,99,99,99,99,99,99,97,94,89,82,74,66,58,50,44,38,33,29,25,22,19,17,15,13,11,9,8,7,6,5
170,99,99,99,99,99,99,99,97,94,89,82,73,66,57,51,44,38,33,29,25,22,19,17,15,13,11,10,8,7,6,5
180,99,99,99,99,99,99,99,97,94,88,81,73,66,57,50,44,38,33,29,25,22,20,17,15,13,11,10,8,7,6,5
190,99,99,99,99,99,99,99,97,93,88,81,73,65,57,50,43,38,33,29,25,22,20,17,15,13,11,10,8,7,6,5
200,99,99,99,99,99,99,99,97,93,87,81,73,65,57,50,43,38,33,29,25,22,20,17,15,13,11,10,8,7,6,5
