,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
0,0.999999999999,0.903328252176,0.838039564842,0.768496740887,0.697106596197,0.619420010038,0.529171187891,0.454237425401,0.346623826366,0.261047449,0.191639867583,0.141838793532,0.0954432730971,0.0585001828579,0.0340739667108,0.0175955844891,0.00875661377987,0.00399844457231,0.00169945536371,0.000675458936782,0.000236467785578,8.48116792202e-05,6.63343614619e-05,2.27295173936e-05,7.26860992534e-06,2.09580165792e-06
10,0.999999998795,0.997541417406,0.975294383405,0.932686582135,0.875868946352,0.807590412637,0.728347299494,0.637084271715,0.537254617987,0.435324097804,0.33898634038,0.255163204045,0.186969256371,0.133722834547,0.0931779710739,0.0655171517205,0.0463314193323,0.0339235618954,0.0255117932789,0.0198497314483,0.015936163166,0.0128584302439,0.01068039063,0.00902876955231,0.00743871256405,0.00622377116986
20,0.99999999879,0.99997118381,0.996823086717,0.982116675858,0.952008951304,0.905776275835,0.842966094635,0.763506323047,0.667052088631,0.56219019324,0.459016200745,0.362735085228,0.278919924781,0.210965681547,0.157524361754,0.117927857587,0.0885197340768,0.0677518032783,0.0535642812141,0.0430623155193,0.0351089579359,0.0288170966201,0.024020918778,0.0201873735405,0.0169375574685,0.0142854275365
30,0.999999998787,0.999999508742,0.999612085439,0.995334395844,0.981708398208,0.954699486818,0.910995712878,0.846715011869,0.76161286188,0.661572936208,0.556106486158,0.453975765043,0.361639759519,0.281738720606,0.218622256235,0.168443518537,0.129849574755,0.102388307678,0.082109292446,0.0668239528718,0.0545703373843,0.0452045507299,0.0377706709205,0.0316906434567,0.026592521863,0.0224412137017
40,0.999999998779,0.999999960475,0.999950292338,0.998753477499,0.992897259222,0.977729938601,0.948450699016,0.898439056188,0.826766572502,0.735320392658,0.633165239081,0.529003499289,0.432686841821,0.344285220511,0.274672738511,0.215490158471,0.171000735482,0.137247356381,0.111176283208,0.0909939586267,0.0748366792802,0.0623145923359,0.052189201373,0.0434612333979,0.0364827437894,0.0309194065665
50,0.999999998773,0.999999977866,0.99999239828,0.999647460953,0.997157776209,0.988673605232,0.969110290607,0.930162634655,0.870642791567,0.7881123328,0.691724355855,0.588129920402,0.489341048121,0.400252318794,0.323646457873,0.260336541842,0.210447324675,0.171352100447,0.140094700558,0.115392525693,0.0959711130772,0.0802534588445,0.0672305564233,0.0561437261833,0.0470241655707,0.0396954395444
60,0.999999998768,0.999999969712,0.999998120787,0.999895952524,0.998776936143,0.993901262858,0.980544076371,0.949999445405,0.898915682797,0.824697803861,0.733241096994,0.633748900338,0.531394534619,0.441824926349,0.362686122006,0.298680433648,0.245862434072,0.202568162575,0.167449401121,0.139202746569,0.116756058335,0.0983166471828,0.082586417222,0.0690976993623,0.0580253658157,0.0486393150317
70,0.999999998739,0.999999970066,0.999999200028,0.999960629747,0.99940559747,0.996491751481,0.986636345458,0.962286085869,0.9183080032,0.850975027321,0.76025242088,0.664149035021,0.568002894611,0.479379994114,0.396727917561,0.327909517727,0.274235967324,0.230499442107,0.191940937031,0.161739789378,0.136555231715,0.115765180304,0.0975656953099,0.0823219289231,0.0693281457821,0.0577609179162
80,0.999999998704,0.999999956152,0.999999254521,0.999979828515,0.999686345897,0.997748254969,0.99040186828,0.970090810611,0.929535851053,0.865735400283,0.782369051277,0.690538029387,0.596558912435,0.507592203122,0.425482077731,0.356283667029,0.300284590468,0.252430934642,0.213148906102,0.181032001211,0.15506407135,0.13211408881,0.11211629858,0.0949335121255,0.0805288367873,0.067097865991
90,0.9999999983,0.999999955925,0.999999309004,0.999986477031,0.999797051478,0.998423346447,0.991642249855,0.975053618935,0.937488885235,0.878040246344,0.797069402042,0.710777146321,0.617510627377,0.530189515912,0.44737700424,0.379316890154,0.319801507943,0.272132969801,0.231597786164,0.198679658594,0.170588006371,0.146295353269,0.125695038013,0.107117630371,0.0905361678236,0.076354385657
