index,Y0,Ymax,Nymax,cY,cN
0,0.0,0.0,10.0,130.0,0.4
1,0.5,0.5,20.0,145.0,0.6000000000000001
2,1.0,1.0,30.0,160.0,0.8
3,1.5,1.5,40.0,175.0,1.0
4,2.0,2.0,50.0,190.0,1.2000000000000002
5,2.5,2.5,60.0,205.0,1.4000000000000004
6,3.0,3.0,70.0,220.0,1.6
7,3.5,3.5,80.0,,
8,4.0,4.0,90.0,,
9,4.5,4.5,100.0,,
10,5.0,5.0,110.0,,
11,5.5,5.5,120.0,,
12,6.0,6.0,130.0,,
13,6.5,6.5,140.0,,
14,7.0,7.0,150.0,,
15,7.5,7.5,160.0,,
16,8.0,8.0,170.0,,
17,8.5,8.5,180.0,,
18,9.0,9.0,190.0,,
19,9.5,9.5,200.0,,
20,10.0,10.0,210.0,,
21,10.5,10.5,220.0,,
22,11.0,11.0,230.0,,
23,11.5,11.5,240.0,,
24,12.0,12.0,250.0,,
25,12.5,12.5,,,
26,13.0,13.0,,,
27,13.5,13.5,,,
28,14.0,14.0,,,
29,14.5,14.5,,,
30,15.0,15.0,,,
31,15.5,15.5,,,
32,16.0,16.0,,,
33,16.5,16.5,,,
34,17.0,17.0,,,
35,17.5,17.5,,,
36,18.0,18.0,,,
37,18.5,18.5,,,
38,19.0,19.0,,,
39,19.5,19.5,,,
40,20.0,20.0,,,
