,N Rate,prob_1000,prob_1500,prob_2000,prob_2500,EProf,NRCNF
0,0,0.189853166897,0.0182624597344,0.000315359243055,1.60686055888e-06,647.4263723242458,0.0
10,10,0.346510994959,0.0636747481973,0.0151334677373,0.00606635663646,882.4693739254639,235.04300160121807
20,20,0.476338357807,0.114794707302,0.033319934554,0.0139171551573,1034.5900404088948,387.163668084649
30,30,0.58183344465,0.164695688223,0.051887645889,0.0218226170499,1149.961250755355,502.5348784311092
40,40,0.665418441309,0.212597086975,0.0713133420205,0.0299606581244,1241.9218366703055,594.4954643460597
50,50,0.728443141117,0.258699831635,0.09178563337,0.0383983051926,1316.8846980119702,669.4583256877244
60,60,0.771999177498,0.298891533629,0.112128503235,0.0471493103401,1378.6360108569893,731.2096385327435
70,70,0.800942890563,0.330320352087,0.131487300621,0.0561354336141,1429.688718432795,782.2623461085492
80,80,0.824228344011,0.36107728233,0.14980811531,0.0652671747061,1471.8528584802289,824.4264861559831
90,90,0.839587676204,0.386318417884,0.165305864984,0.0743949173003,1506.50847102705,859.0820987028043
100,100,0.851994986378,0.405008106832,0.179265625378,0.0829764584522,1534.7491862662139,887.3228139419681
110,110,0.856827711884,0.420125827393,0.190848501654,0.0895997116067,1557.46629433497,910.0399220107241
120,120,0.86267367784,0.432428597165,0.199570162685,0.0964083926944,1575.4027225338248,927.976350209579
130,130,0.865807666982,0.440062365191,0.206900424322,0.102138191784,1589.1902135247074,941.7638412004616
140,140,0.867028435442,0.44798658879,0.212652274692,0.106858973377,1599.3749164960777,951.9485441718319
150,150,0.864117818298,0.451463495784,0.218043190813,0.110823535707,1606.435057676319,959.0086853520733
160,160,0.861499997522,0.454079882135,0.219157958621,0.11330002688,1610.7936687999038,963.367296475658
170,170,0.861419723495,0.455434240958,0.221183966136,0.115144998951,1612.8283399990225,965.4019676747768
180,180,0.854566354211,0.453691235417,0.222871960565,0.116047798902,1612.8790983020742,965.4527259778284
190,190,0.854745649742,0.449713333233,0.223970188293,0.117004566457,1611.2545999570195,963.8282276327737
200,200,0.854167792871,0.445701229896,0.223895197882,0.117939632954,1608.2368790765618,960.810506752316
