,Y0,Ymax,Nymax,Jprob
0,0.0,0.0,10.0,1.2600918083492028e-05
1,0.0,0.0,20.0,1.2600918083492028e-05
2,0.0,0.0,30.0,1.2600918083492028e-05
3,0.0,0.0,40.0,1.2600918083492028e-05
4,0.0,0.0,50.0,1.2600918083492028e-05
5,0.0,0.0,60.0,1.2600918083492028e-05
6,0.0,0.0,70.0,1.2600918083492028e-05
7,0.0,0.0,80.0,1.2600918083492028e-05
8,0.0,0.0,90.0,1.2600918083492028e-05
9,0.0,0.0,100.0,1.2600918083492028e-05
10,0.0,0.0,110.0,1.2600918083492028e-05
11,0.0,0.0,120.0,1.2600918083492028e-05
12,0.0,0.0,130.0,1.2600918083492028e-05
13,0.0,0.0,140.0,1.2600918083492028e-05
14,0.0,0.0,150.0,1.2600918083492028e-05
15,0.0,0.0,160.0,1.2600918083492028e-05
16,0.0,0.0,170.0,1.2600918083492028e-05
17,0.0,0.0,180.0,1.2600918083492028e-05
18,0.0,0.0,190.0,1.2600918083492028e-05
19,0.0,0.0,200.0,1.2600918083492028e-05
20,0.0,0.0,210.0,1.2600918083492028e-05
21,0.0,0.0,220.0,1.2600918083492028e-05
22,0.0,0.0,230.0,1.2600918083492028e-05
23,0.0,0.0,240.0,1.2600918083492028e-05
24,0.0,0.0,250.0,1.2600918083492028e-05
25,0.0,0.5,10.0,1.5010551708849492e-05
26,0.0,0.5,20.0,1.5010551708849492e-05
27,0.0,0.5,30.0,1.5010551708849492e-05
28,0.0,0.5,40.0,1.5010551708849492e-05
29,0.0,0.5,50.0,1.5010551708849492e-05
30,0.0,0.5,60.0,1.496569367173078e-05
31,0.0,0.5,70.0,1.4879437045117074e-05
32,0.0,0.5,80.0,1.4786030609224259e-05
33,0.0,0.5,90.0,1.4696994993538333e-05
34,0.0,0.5,100.0,1.461582833864996e-05
35,0.0,0.5,110.0,1.4536859623863299e-05
36,0.0,0.5,120.0,1.445741813391057e-05
37,0.0,0.5,130.0,1.4380759354605396e-05
38,0.0,0.5,140.0,1.4308367675897926e-05
39,0.0,0.5,150.0,1.4240795167796552e-05
40,0.0,0.5,160.0,1.4176738175775108e-05
41,0.0,0.5,170.0,1.4115273765346946e-05
42,0.0,0.5,180.0,1.4056831930119877e-05
43,0.0,0.5,190.0,1.4001580480963265e-05
44,0.0,0.5,200.0,1.3949527616211112e-05
45,0.0,0.5,210.0,1.3900445517630346e-05
46,0.0,0.5,220.0,1.385408730402642e-05
47,0.0,0.5,230.0,1.3810335106534103e-05
48,0.0,0.5,240.0,1.3769054628839048e-05
49,0.0,0.5,250.0,1.3730104074453917e-05
50,0.0,1.0,10.0,1.8202328590542792e-05
51,0.0,1.0,20.0,1.8202328590542792e-05
52,0.0,1.0,30.0,1.8202328590542792e-05
53,0.0,1.0,40.0,1.8202328590542792e-05
54,0.0,1.0,50.0,1.8202328590542792e-05
55,0.0,1.0,60.0,1.809218640222223e-05
56,0.0,1.0,70.0,1.78818814760022e-05
57,0.0,1.0,80.0,1.7656419773025183e-05
58,0.0,1.0,90.0,1.744379497926961e-05
59,0.0,1.0,100.0,1.7251978576468316e-05
60,0.0,1.0,110.0,1.706552552468129e-05
61,0.0,1.0,120.0,1.6877294130749712e-05
62,0.0,1.0,130.0,1.6695827966259364e-05
63,0.0,1.0,140.0,1.6525040666315098e-05
64,0.0,1.0,150.0,1.636637729253669e-05
65,0.0,1.0,160.0,1.621594620354698e-05
66,0.0,1.0,170.0,1.6071078320489697e-05
67,0.0,1.0,180.0,1.5933165651453615e-05
68,0.0,1.0,190.0,1.5802842270934095e-05
69,0.0,1.0,200.0,1.568026660784384e-05
70,0.0,1.0,210.0,1.5564419033290687e-05
71,0.0,1.0,220.0,1.54543677911901e-05
72,0.0,1.0,230.0,1.535006541822756e-05
73,0.0,1.0,240.0,1.5251365567988107e-05
74,0.0,1.0,250.0,1.5158057179883244e-05
75,0.0,1.5,10.0,2.242510190132439e-05
76,0.0,1.5,20.0,2.242510190132439e-05
77,0.0,1.5,30.0,2.242510190132439e-05
78,0.0,1.5,40.0,2.242510190132439e-05
79,0.0,1.5,50.0,2.242510190132439e-05
80,0.0,1.5,60.0,2.2223496853107567e-05
81,0.0,1.5,70.0,2.1840603108005578e-05
82,0.0,1.5,80.0,2.14333535803122e-05
83,0.0,1.5,90.0,2.1052660198713086e-05
84,0.0,1.5,100.0,2.071228445990183e-05
85,0.0,1.5,110.0,2.0381176653577658e-05
86,0.0,1.5,120.0,2.0045236116032537e-05
87,0.0,1.5,130.0,1.9721322683501077e-05
88,0.0,1.5,140.0,1.941722521862384e-05
