,Y0,Ymax,Nymax,Jprob
0,0.0,0.0,10.0,4.6996855597856407e-11
1,0.0,0.0,20.0,4.6996855597856407e-11
2,0.0,0.0,30.0,4.6996855597856407e-11
3,0.0,0.0,40.0,4.6996855597856407e-11
4,0.0,0.0,50.0,4.6996855597856407e-11
5,0.0,0.0,60.0,4.6996855597856407e-11
6,0.0,0.0,70.0,4.6996855597856407e-11
7,0.0,0.0,80.0,4.6996855597856407e-11
8,0.0,0.0,90.0,4.6996855597856407e-11
9,0.0,0.0,100.0,4.6996855597856407e-11
10,0.0,0.0,110.0,4.6996855597856407e-11
11,0.0,0.0,120.0,4.6996855597856407e-11
12,0.0,0.0,130.0,4.6996855597856407e-11
13,0.0,0.0,140.0,4.6996855597856407e-11
14,0.0,0.0,150.0,4.6996855597856407e-11
15,0.0,0.0,160.0,4.6996855597856407e-11
16,0.0,0.0,170.0,4.6996855597856407e-11
17,0.0,0.0,180.0,4.6996855597856407e-11
18,0.0,0.0,190.0,4.6996855597856407e-11
19,0.0,0.0,200.0,4.6996855597856407e-11
20,0.0,0.0,210.0,4.6996855597856407e-11
21,0.0,0.0,220.0,4.6996855597856407e-11
22,0.0,0.0,230.0,4.6996855597856407e-11
23,0.0,0.0,240.0,4.6996855597856407e-11
24,0.0,0.0,250.0,4.6996855597856407e-11
25,0.0,0.5,10.0,3.498008386161301e-11
26,0.0,0.5,20.0,3.498008386161301e-11
27,0.0,0.5,30.0,3.498008386161301e-11
28,0.0,0.5,40.0,3.498008386161301e-11
29,0.0,0.5,50.0,3.498008386161301e-11
30,0.0,0.5,60.0,3.394039986226995e-11
31,0.0,0.5,70.0,3.208938685075402e-11
32,0.0,0.5,80.0,3.0289763667181585e-11
33,0.0,0.5,90.0,2.875685985492675e-11
34,0.0,0.5,100.0,2.750298265655668e-11
35,0.0,0.5,110.0,2.6302333564877797e-11
36,0.0,0.5,120.0,2.5063488381937118e-11
37,0.0,0.5,130.0,2.3885317091389275e-11
38,0.0,0.5,140.0,2.280954006327565e-11
39,0.0,0.5,150.0,2.1847757789570983e-11
40,0.0,0.5,160.0,2.1051625423976136e-11
41,0.0,0.5,170.0,2.043282120769732e-11
42,0.0,0.5,180.0,1.994676615485501e-11
43,0.0,0.5,190.0,1.956312127103181e-11
44,0.0,0.5,200.0,1.926025859066506e-11
45,0.0,0.5,210.0,1.9050069976945025e-11
46,0.0,0.5,220.0,1.893513757769319e-11
47,0.0,0.5,230.0,1.889174655485872e-11
48,0.0,0.5,240.0,1.8903125577819952e-11
49,0.0,0.5,250.0,1.8957089291784218e-11
50,0.0,1.0,10.0,7.442886371662771e-11
51,0.0,1.0,20.0,7.442886371662771e-11
52,0.0,1.0,30.0,7.442886371662771e-11
53,0.0,1.0,40.0,7.442886371662771e-11
54,0.0,1.0,50.0,7.442886371662771e-11
55,0.0,1.0,60.0,6.879707711692067e-11
56,0.0,1.0,70.0,5.962698640785931e-11
57,0.0,1.0,80.0,5.17495099370205e-11
58,0.0,1.0,90.0,4.584563561590405e-11
59,0.0,1.0,100.0,4.158034387904765e-11
60,0.0,1.0,110.0,3.7685850258250644e-11
61,0.0,1.0,120.0,3.372426005700786e-11
62,0.0,1.0,130.0,3.01351062983275e-11
63,0.0,1.0,140.0,2.7057368225413403e-11
64,0.0,1.0,150.0,2.448745699130238e-11
65,0.0,1.0,160.0,2.240612730461461e-11
66,0.0,1.0,170.0,2.074035857865393e-11
67,0.0,1.0,180.0,1.939378944623128e-11
68,0.0,1.0,190.0,1.8300002113282962e-11
69,0.0,1.0,200.0,1.741002023410272e-11
70,0.0,1.0,210.0,1.66933400982195e-11
71,0.0,1.0,220.0,1.611533929355028e-11
72,0.0,1.0,230.0,1.5642875046369395e-11
73,0.0,1.0,240.0,1.5253980879687035e-11
74,0.0,1.0,250.0,1.4933311053442374e-11
75,0.0,1.5,10.0,5.098750400075664e-10
76,0.0,1.5,20.0,5.098750400075664e-10
77,0.0,1.5,30.0,5.098750400075664e-10
78,0.0,1.5,40.0,5.098750400075664e-10
79,0.0,1.5,50.0,5.098750400075664e-10
80,0.0,1.5,60.0,4.4843376766020514e-10
81,0.0,1.5,70.0,3.5569569401652674e-10
82,0.0,1.5,80.0,2.839396743094197e-10
83,0.0,1.5,90.0,2.3560109795466155e-10
84,0.0,1.5,100.0,2.0410713922856827e-10
85,0.0,1.5,110.0,1.7641134346215767e-10
86,0.0,1.5,120.0,1.4861333371121012e-10
87,0.0,1.5,130.0,1.245700055605686e-10
88,0.0,1.5,140.0,1.0513609398733696e-10
89,0.0,1.5,150.0,8.990463503247273e-11
90,0.0,1.5,160.0,7.781192134263204e-11
